k,inertia,silhouette,davies_bouldin,calinski_harabasz,stability_ari
4,1629.42333984375,0.24549250602722167,2.972717329347656,379.44989986465845,0.9978917339285343
5,1583.220654296875,0.24475812017917634,3.0050812400512887,310.2651943349517,0.9866958359319392
6,1552.1612060546875,0.242865127325058,2.937345045525059,262.6664884390681,0.9366781186866298
7,1523.4876953125,0.24564760625362397,3.1327242626694924,230.4314523435226,0.9645601594368873
8,1500.6858154296874,0.24453377723693848,3.1690667463066666,205.62879831491495,0.8679985756132554
9,1479.7359130859375,0.24102281928062438,3.295159656022082,186.63308911221318,0.8901925849206742
10,1462.0533935546875,0.24068665206432344,3.2798623734602934,171.04811566856435,0.9150045684328229
11,1446.7707763671874,0.24149372279644013,3.305121324435335,158.03116264620118,0.8924555759326399
12,1433.324365234375,0.24093244075775147,3.327405776186373,146.99096991163566,0.9181156002004685
13,1421.34775390625,0.2417985290288925,3.270490091555751,137.4986820844994,0.870337094318951
14,1411.2158203125,0.24083980023860932,3.3249659847912154,129.09909501529805,0.8378615638202899
15,1400.3245849609375,0.24123454391956328,3.2842118653423333,122.08607468728829,0.820709637535962
16,1390.2161376953125,0.23991867899894714,3.259911181944657,115.88458634809031,0.8264492591034094
17,1381.6455078125,0.24008887112140656,3.25591021682515,110.19537464137882,0.8264423642137517
18,1373.8317626953126,0.23795791566371918,3.307043581124416,105.05727412699157,0.7989442890869547
19,1366.5004150390625,0.2396504670381546,3.2314485806285704,100.42158441138545,0.7944932682706753
20,1358.8097900390626,0.23862926959991454,3.2939322847824117,96.34440322332877,0.7816959274781835
