post_index,assigned_feature
0,28
1,28
2,15
3,28
4,15
5,28
6,11
7,28
8,11
9,28
10,15
11,11
12,28
13,11
14,28
15,28
16,11
17,11
18,11
19,2
20,11
21,15
22,28
23,11
24,28
25,11
26,7
27,28
28,14
29,15
30,11
31,28
32,2
33,15
34,11
35,11
36,11
37,28
38,28
39,11
40,11
41,15
42,11
43,15
44,11
45,15
46,28
47,11
48,15
49,28
50,11
51,28
52,11
53,11
54,15
55,0
56,11
57,11
58,11
59,6
60,11
61,11
62,15
63,11
64,11
65,1
66,11
67,2
68,11
69,28
70,11
71,6
72,28
73,1
74,28
75,15
76,6
77,0
78,15
79,11
80,11
81,11
82,2
83,11
84,11
85,15
86,11
87,3
88,28
89,2
90,11
91,11
92,15
93,28
94,15
95,11
96,11
97,11
98,1
99,11
100,15
101,0
102,11
103,21
104,11
105,11
106,11
107,15
108,15
109,25
110,17
111,15
112,11
113,28
114,11
115,11
116,28
117,11
118,11
119,25
120,28
121,11
122,11
123,15
124,11
125,11
126,11
127,11
128,11
129,2
130,28
131,15
132,21
133,15
134,28
135,28
136,11
137,11
138,15
139,15
140,11
141,11
142,11
143,11
144,11
145,11
146,11
147,11
148,28
149,11
150,11
151,1
152,1
153,11
154,28
155,11
156,2
157,3
158,28
159,11
160,0
161,28
162,11
163,0
164,11
165,11
166,11
167,0
168,11
169,11
170,11
171,15
172,11
173,6
174,28
175,28
176,11
177,11
178,11
179,11
180,11
181,11
182,11
183,28
184,28
185,11
186,11
187,11
188,11
189,26
190,11
191,28
192,11
193,17
194,11
195,11
196,15
197,11
198,28
199,11
200,28
201,11
202,11
203,11
204,11
205,11
206,11
207,11
208,11
209,11
210,28
211,28
212,28
213,28
214,28
215,28
216,15
217,28
218,11
219,11
220,15
221,11
222,11
223,11
224,11
225,11
226,11
227,28
228,11
229,11
230,15
231,11
232,28
233,28
234,28
235,28
236,11
237,11
238,11
239,11
240,11
241,15
242,11
243,3
244,15
245,11
246,1
247,2
248,11
249,28
250,21
251,11
252,11
253,1
254,15
255,14
256,28
257,28
258,15
259,28
260,28
261,8
262,11
263,11
264,11
265,2
266,2
267,25
268,15
269,28
270,11
271,26
272,11
273,11
274,11
275,28
276,28
277,11
278,25
279,15
280,11
281,11
282,28
283,11
284,11
285,15
286,28
287,11
288,6
289,28
290,11
291,11
292,28
293,11
294,11
295,11
296,15
297,11
298,28
299,11
300,28
301,11
302,1
303,25
304,25
305,11
306,28
307,11
308,11
309,15
310,25
311,25
312,28
313,11
314,15
315,11
316,11
317,15
318,15
319,15
320,6
321,11
322,28
323,11
324,11
325,28
326,28
327,3
328,15
329,11
330,11
331,0
332,28
333,28
334,28
335,11
336,11
337,11
338,15
339,28
340,11
341,11
342,11
343,11
344,28
345,11
346,11
347,11
348,28
349,15
350,28
351,28
352,11
353,28
354,11
355,1
356,11
357,11
358,11
359,11
360,11
361,6
362,11
363,11
364,25
365,11
366,25
367,28
368,28
369,28
370,11
371,28
372,28
373,28
374,11
375,15
376,11
377,28
378,11
379,2
380,15
381,11
382,1
383,11
384,11
385,28
386,28
387,15
388,15
389,21
390,11
391,28
392,11
393,28
394,28
395,11
396,11
397,28
398,11
399,15
400,28
401,28
402,28
403,15
404,28
405,14
406,15
407,0
408,11
409,11
410,11
411,28
412,11
413,11
414,28
415,11
416,11
417,2
418,11
419,11
420,28
421,11
422,14
423,11
424,15
425,15
426,28
427,11
428,11
429,11
430,11
431,15
432,28
433,28
434,15
435,21
436,15
437,11
438,28
439,11
440,6
441,11
442,11
443,11
444,11
445,11
446,11
447,11
448,28
449,15
450,11
451,11
452,11
453,1
454,11
455,28
456,11
457,15
458,11
459,15
460,28
461,11
462,14
463,11
464,28
465,28
466,11
467,13
468,28
469,11
470,11
471,11
472,15
473,28
474,11
475,28
476,28
477,28
478,11
479,28
480,11
481,28
482,11
483,11
484,11
485,11
486,11
487,11
488,28
489,11
490,28
491,11
492,11
493,2
494,11
495,1
496,15
497,2
498,1
499,11
500,11
501,28
502,11
503,28
504,8
505,15
506,28
507,11
508,28
509,11
510,11
511,15
512,11
513,11
514,11
515,15
516,11
517,28
518,28
519,2
520,11
521,11
522,25
523,11
524,11
525,28
526,28
527,6
528,28
529,28
530,28
531,11
532,28
533,1
534,11
535,11
536,11
537,11
538,28
539,11
540,2
541,11
542,11
543,8
544,11
545,11
546,11
547,11
548,11
549,15
550,11
551,11
552,28
553,11
554,28
555,1
556,13
557,28
558,15
559,28
560,1
561,11
562,11
563,11
564,28
565,11
566,28
567,11
568,11
569,11
570,11
571,14
572,8
573,11
574,11
575,15
576,11
577,11
578,1
579,28
580,28
581,11
582,11
583,11
584,15
585,11
586,11
587,15
588,28
589,11
590,11
591,11
